Accession	Stock ID	Sequenced by	Platform	Status	Alt name
Qar_8a	CS76581	Salk	Illumina	Released	549AV
RRS_7	CS76593	Salk	Illumina	Released	CS22564
RRs_10	CS76592	Salk	Illumina	Released	CS22565
Ra_0	CS76582	Salk	Illumina	Released	CS22632
Ragl_1	CS76583	Salk	Illumina	Released	CS22558
Rak_2	CS28668	Salk	Illumina	Released	CS28668
Rd_0	CS76584	Salk	Illumina	Released	CS1482
Ren_1	CS28674	Salk	Illumina	Released	CS28674
Ren_11	CS28677	Salk	Illumina	Released	CS28677
Rennes_1		Salk	Illumina	Released	CS22610
Rhen_1		Salk	Illumina	Released	CS22536
Rld_1	CS76588	Salk	Illumina	Released	CS913
Rmx_A02	CS76589	Salk	Illumina	Released	CS22568
Rmx_A180	CS28690	Salk	Illumina	Released	CS28690
Rome_1	CS76590	Salk	Illumina	Released	CS22524
Rou_0	CS76591	Salk	Illumina	Released	CS6847
Rubeznhoe_1	CS76594	Salk	Illumina	Released	CS927
Sap_0	CS76595	Salk	Illumina	Released	CS1506
Se_0	CS76597	Salk	Illumina	Released	CS22646
Seattle_0	CS76598	Salk	Illumina	Released	CS6188
Sei_0	CS76599	Salk	Illumina	Released	CS1504
Sf_1	CS28730	Salk	Illumina	Released	CS28730
Sg_1	CS76600	Salk	Illumina	Released	CS6858
Si_0	CS76601	Salk	Illumina	Released	CS1524
Sorbo		Salk	Illumina	Released	CS22653
Sp_0	CS76603	Salk	Illumina	Released	CS1530
Sq_1	CS28746	Salk	Illumina	Released	CS28746
Sq_8	CS76604	Salk	Illumina	Released	CS22601
Stw_0	CS76605	Salk	Illumina	Released	CS1538
Su_0	CS76606	Salk	Illumina	Released	CS1540
Sus_1	CS76607	Salk	Illumina	Released	533AV
Ta_0	CS76608	Salk	Illumina	Released	CS6867
Tamm_2	CS76610	Salk	Illumina	Released	CS22604
Tamm_27	CS28756	Salk	Illumina	Released	CS28756
Tha_1		Salk	Illumina	Released	CS22537
Ting_1	CS76612	Salk	Illumina	Released	CS22549
Tol_0	CS76614	Salk	Illumina	Released	CS8020
Ts_1	CS76615	Salk	Illumina	Released	CS22647
Ts_5	CS28776	Salk	Illumina	Released	CS28776
Tscha_1	CS76616	Salk	Illumina	Released	CS22518
Tu_0	CS76617	Salk	Illumina	Released	CS1566
Tul_0	CS76618	Salk	Illumina	Released	CS1570
Ty_0	CS76619	Salk	Illumina	Released	CS1572
Uk_1	CS76620	Salk	Illumina	Released	CS1574
Uod_1	CS76621	Salk	Illumina	Released	CS22612
Uod_7	CS28794	Salk	Illumina	Released	CS28794
Utrecht	CS76622	Salk	Illumina	Released	CS6150
Van_0	CS76623	Salk	Illumina	Released	CS6884
Ven_1	CS76624	Salk	Illumina	Released	CS22538
Vind_1	CS76625	Salk	Illumina	Released	CS22560
Wa_1	CS76626	Salk	Illumina	Released	CS6885
Wc_1	CS76627	Salk	Illumina	Released	CS6886
Wei_0	CS76628	Salk	Illumina	Released	CS22622
Westkar_4	CS76629	Salk	Illumina	Released	N/A
Wil_1	CS28819	Salk	Illumina	Released	CS28819
Wl_0	CS76630	Salk	Illumina	Released	CS6920
Ws_2	CS76631	Salk	Illumina	Released	CS22659
Wt_5	CS76632	Salk	Illumina	Released	CS22637
Yo_0	CS76633	Salk	Illumina	Released	CS1622
Zal_1	CS76634	Salk	Illumina	Released	536AV
Zdr_1	CS76635	Salk	Illumina	Released	CS22588
